w1,w2,w3,alpha,beta,pi0,regression_mae,full_model_mae,full_model_rmse,full_model_mape,volatility_mae,volatility_rmse,volatility_mape,sample_count,validation_count,price_rank,volatility_rank
0.08,0.92,0.0,1.2192527234787003,3946.207005031141,665.5908409983094,107.84233618597776,108.22567112813212,129.07638693652325,0.012635192367316053,108.22567112813212,129.07638693652325,0.7944137813224823,158,241,1,1
0.06,0.94,0.0,1.2178026471395396,3949.933343038505,661.5557789207587,107.72079183402374,108.22979669474815,129.01502286621388,0.012637953820383086,108.22979669474815,129.01502286621388,0.7945157184332815,158,241,2,2
0.1,0.9,0.0,1.220674809732508,3942.644989824144,669.5708848284094,107.9686314372578,108.2430412761179,129.20196670336864,0.012635083092558024,108.2430412761179,129.20196670336864,0.7944425328049328,158,241,3,3
0.04,0.96,0.0,1.2163165550085029,3953.936345429386,657.3843998302009,107.6588129085283,108.27429638978715,129.01751779217437,0.01264578721981774,108.27429638978715,129.01751779217437,0.794967275484226,158,241,4,4
0.12,0.88,0.0,1.2220864877907394,3939.1110344622757,673.58094361864,108.15036930624728,108.33409111376652,129.382712118201,0.012643174827715554,108.33409111376652,129.382712118201,0.7948443594616365,158,241,5,5
0.02,0.98,0.0,1.214774260447801,3958.4337275824,652.9260129608883,107.6434335530061,108.36594043271847,129.09227596099478,0.012659139514148664,108.36594043271847,129.09227596099478,0.7956366762710321,158,241,6,6
0.08,0.9,0.02,1.2179993727980862,3956.8857078546016,660.0185780816232,107.94648177391714,108.40234033574285,129.18575345749252,0.012660642161648776,108.40234033574285,129.18575345749252,0.7953690416531668,158,241,7,7
0.1,0.88,0.02,1.2194206859370944,3953.335510402385,663.9870605268607,108.08157861925172,108.41897695212619,129.31440647528788,0.012660194506416644,108.41897695212619,129.31440647528788,0.7954274092136027,158,241,8,8
0.06,0.92,0.02,1.2165427810093363,3960.6652494276595,655.9506389518133,107.86427925406923,108.4323777259182,129.12148730440532,0.012666668722991405,108.4323777259182,129.12148730440532,0.7956785688125,158,241,9,9
0.14,0.86,0.0,1.2234627474299846,3935.806949010809,677.4910892377125,108.36761137226131,108.44720952033882,129.62052464835344,0.012653773738760516,108.44720952033882,129.62052464835344,0.7954357453403322,158,241,10,10
0.0,1.0,0.0,1.2131969999287258,3963.1549491937317,648.3732697767996,107.63842943053459,108.47002651523182,129.221147188707,0.012674218711392436,108.47002651523182,129.221147188707,0.7963853939934655,158,241,11,11
0.04,0.94,0.02,1.215068270802838,3964.565282491119,651.8484302040301,107.80653062349971,108.47835966073751,129.11691472219408,0.012674667206612217,108.47835966073751,129.11691472219408,0.7961974511360979,158,241,12,12
0.12,0.86,0.02,1.220823943100084,3949.8751175016705,667.945685397814,108.26034762816009,108.49588653310164,129.50070606797337,0.012666416137198796,108.49588653310164,129.50070606797337,0.7958046682883884,158,241,13,13
0.02,0.96,0.02,1.2135264821236695,3969.0538912837706,647.3990438522496,107.76698966125507,108.5461609976174,129.18605003845153,0.012685520706516164,108.5461609976174,129.18605003845153,0.7968598021345699,158,241,14,14
0.16,0.84,0.0,1.2248028809909746,3932.738563749463,681.2972344769792,108.5959083017507,108.58694844005917,129.91559387278693,0.012667453739399481,108.58694844005917,129.91559387278693,0.7960837523725649,158,241,15,15
0.08,0.88,0.04,1.2167426191769732,3967.5709993353357,654.4510197121103,108.06881616569463,108.59124699293363,129.31829041618127,0.012687615711666236,108.59124699293363,129.31829041618127,0.7964346525317153,158,241,16,16
0.1,0.86,0.04,1.2181631828232788,3964.032276579307,658.408198676148,108.19514061618555,108.60070189089264,129.44880852408951,0.012686074555188281,108.60070189089264,129.44880852408951,0.7964110955904479,158,241,17,17
0.14,0.84,0.02,1.2221998224733026,3946.5795319953663,671.8461711966502,108.4921655993015,108.61871363850989,129.74336767231733,0.0126781146043066,108.61871363850989,129.74336767231733,0.7964804872413873,158,241,18,18
